id,radius,name,hasCollision,breaksOnHit,visibleByTime,hasAnimation,borderBoxLength,borderBoxWidth,borderBoxHeight,materialsFile,definitionFile,modelFile,tags
1000,0.862861,spl_b_mar_m,No,No,"No, visible always",No,1.706471,0.2438873,0.1693159,vehicle.txd,veh_mods.ide,spl_b_mar_m.obj,
10008,12.4635,fer_cars2_sfe,Yes,No,"No, visible always",No,10.62298,10.21137,15.19996,fishwarf.txd,SFe.ide,fer_cars2_sfe.dff,
10009,7.01654,fer_cars3_sfe,Yes,No,"No, visible always",No,10.38421,9.86693,9.12237,fishwarf.txd,SFe.ide,fer_cars3_sfe.dff,
1001,1.00737,spl_b_bab_m,No,No,"No, visible always",No,1.999602,0.333152,0.299804,vehicle.txd,veh_mods.ide,spl_b_bab_m.dff,
10010,59.1245,ugcarpark_SFe,Yes,No,"No, visible always",No,90.5,67.079,8.06167,carpark_sfe.txd,SFe.ide,ugcarpark_SFe.dff,
10011,43.7653,carspaces_sfe14,No,No,"No, visible always",No,81.3461,33.9375,9.34828,multistory_sfe.txd,SFe.ide,carspaces_sfe14.dff,
10012,287.767,cables4,No,No,"No, visible always",No,498.279,300.778,57.9724,cables_sfe.txd,SFe.ide,cables4.dff,
10013,69.3809,vicstuff_sfe17,Yes,No,"No, visible always",No,90.1356,66.7612,42.6322,sfvictorian.txd,SFe.ide,vicstuff_sfe17.dff,
10014,64.3113,vicstu69_sfe,Yes,No,"No, visible always",No,87.917,58.8103,21.9953,sfvictorian.txd,SFe.ide,vicstu69_sfe.dff,
10015,63.5493,vicstu69b_sfe,Yes,No,"No, visible always",No,72.0263,85.2601,26.4667,sfvictorian.txd,SFe.ide,vicstu69b_sfe.dff,
10016,54.5175,vicnew_sfe04,Yes,No,"No, visible always",No,89.2275,31.8241,32.6013,sfvictorian.txd,SFe.ide,vicnew_sfe04.dff,
10017,91.0317,bigvic_a1,Yes,No,"No, visible always",No,30.8384,154.2228,38.49229,sfvictorian.txd,SFe.ide,bigvic_a1.dff,
10018,118.449,tunnel_sfe,Yes,No,"No, visible always",No,229.3898,58.1769,11.12742,tunnel_sfe.txd,SFe.ide,tunnel_sfe.dff,
10019,57.8604,vicstuff_sfe45,Yes,No,"No, visible always",No,91.835,69.9155,32.0516,sfvictorian.txd,SFe.ide,vicstuff_sfe45.dff,
1002,0.868415,spl_b_bar_m,No,No,"No, visible always",No,1.713571,0.2436894,0.1975082,vehicle.txd,veh_mods.ide,spl_b_bar_m.dff,Machine parts|Spoiler|Tuning
10020,41.0787,vicstuff_sfe22,Yes,No,"No, visible always",No,70.8607,31.6309,26.983,sfvictorian.txd,SFe.ide,vicstuff_sfe22.dff,
10021,37.6973,vicstuff_sfe06,Yes,No,"No, visible always",No,48.3899,49.0645,30.609,sfvictorian.txd,SFe.ide,vicstuff_sfe06.dff,
10022,20.8954,vicstuff_sfe04,Yes,No,"No, visible always",No,26.8493,27.6947,23.4084,sfvictorian.txd,SFe.ide,vicstuff_sfe04.dff,
10023,61.6249,sfe_archybald1,Yes,No,"No, visible always",No,81.9357,82.476,19.66477,bigwhitesfe.txd,SFe.ide,sfe_archybald1.dff,
10024,49.4277,archbuild_wins,Yes,No,"No, visible always",No,76.4168,19.71744,22.93801,bigwhitesfe.txd,SFe.ide,archbuild_wins.dff,
10025,49.4405,chinatown_sfe2,Yes,No,"No, visible always",No,34.6697,74.8781,39.5276,chinatownsfe.txd,SFe.ide,chinatown_sfe2.dff,
10026,36.6112,fire_esc_SFE06,Yes,No,"No, visible always",No,66.1353,4.194092,21.6789,fescape2_sfe.txd,SFe.ide,fire_esc_SFE06.dff,
10027,108.002,bigwhiete_SFE,Yes,No,"No, visible always",No,88.2583,94.5645,117.5475,bigwhitesfe.txd,SFe.ide,bigwhiete_SFE.dff,
10028,100.359,copshop_sfe,Yes,No,"No, visible always",No,133.024,106.4028,80.156,copshop_sfe.txd,SFe.ide,copshop_sfe.dff,
10029,63.5126,copbits_sfe,Yes,No,"No, visible always",No,119.3102,36.6613,39.09498,sfe_copchop.txd,SFe.ide,copbits_sfe.dff,
1003,1.00913,spl_b_mab_m,No,No,"No, visible always",No,2.00404,0.333352,0.26584,vehicle.txd,veh_mods.ide,spl_b_mab_m.dff,Machine parts|Spoiler|Tuning
10030,50.4266,chinatown_sfe9,Yes,No,"No, visible always",No,52.4194,70.5195,39.1463,chinatownsfe.txd,SFe.ide,chinatown_sfe9.dff,
10031,44.4732,landshit_24_sfe,Yes,No,"No, visible always",No,68.1072,42.9312,24.0327,chinatown2.txd,SFe.ide,landshit_24_sfe.dff,
10032,35.6233,carspaces_sfe,No,No,"No, visible always",No,64.4681,30.3304,0.03576562,copshop_sfe.txd,SFe.ide,carspaces_sfe.dff,
10033,52.7521,fire_esc_SFE02,Yes,No,"No, visible always",No,5.5081,49.281,77.5868,fescape3_sfe.txd,SFe.ide,fire_esc_SFE02.dff,Exterior|Stairs
10034,81.541,landshit_18_sfe,Yes,No,"No, visible always",No,63.9759,145.6564,35.8993,grsbitsfe.txd,SFe.ide,landshit_18_sfe.dff,
10035,57.3217,chinatown_sfe20,Yes,No,"No, visible always",No,37.531,101.1837,39.8091,chinatownsfe.txd,SFe.ide,chinatown_sfe20.dff,
10036,56.4874,chin_sfe1121,Yes,No,"No, visible always",No,70.4333,94.7131,4.4713,chinatownsfe.txd,SFe.ide,chin_sfe1121.dff,
10037,34.3123,chbackbit8_sfe,Yes,No,"No, visible always",No,28.469,56.9922,25.5136,chinatownsfe.txd,SFe.ide,chbackbit8_sfe.dff,
10038,54.899,chinatown_sfe8,Yes,No,"No, visible always",No,49.5871,74.8672,41.2076,chinatownsfe.txd,SFe.ide,chinatown_sfe8.dff,High-rise building|Residential house
10039,73.3825,chinatown_sfe1,Yes,No,"No, visible always",No,68.1127,120.2605,42.1113,chinatownsfe.txd,SFe.ide,chinatown_sfe1.dff,
1004,0.477972,bnt_b_sc_m,No,No,"No, visible always",No,0.925337,0.277868,0.0672373,vehicle.txd,veh_mods.ide,bnt_b_sc_m.dff,
10040,255.191,cables3,No,No,"No, visible always",No,438.485,328.1,72.6131,cables_sfe.txd,SFe.ide,cables3.dff,
10041,78.1531,BIGCENTRAL_SFE,Yes,No,"No, visible always",No,45.5951,86.9978,74.2006,archybuild10.txd,SFe.ide,BIGCENTRAL_SFE.dff,
10042,44.5685,fescape2_sfe,Yes,No,"No, visible always",No,69.7085,24.3387,46.8969,fescape_sfe.txd,SFe.ide,fescape2_sfe.dff,
10043,60.7988,vicstuff_sfe6004,Yes,No,"No, visible always",No,88.3347,59.3392,37.3933,sfvictorian.txd,SFe.ide,vicstuff_sfe6004.dff,
10044,85.2589,sfe_swank1,Yes,No,"No, visible always",No,80.9827,85.8528,73.9065,sfe_swank1.txd,SFe.ide,sfe_swank1.dff,
10045,56.286,pinkbuild4_sfe,Yes,No,"No, visible always",No,83.1675,65.6494,55.7847,archybuild10.txd,SFe.ide,pinkbuild4_sfe.dff,
10046,57.021,pinkbuild_sfe,Yes,No,"No, visible always",No,39.5322,56.3773,63.3005,archybuild10.txd,SFe.ide,pinkbuild_sfe.dff,
10047,61.6311,monlith_ground,Yes,No,"No, visible always",No,81.5735,87.8104,13.385,monlith_sfe.txd,SFe.ide,monlith_ground.dff,
10048,55.685,vicstuff_sfe66,Yes,No,"No, visible always",No,64.397,79.2916,41.5013,sfvictorian.txd,SFe.ide,vicstuff_sfe66.dff,
10049,67.776,Posh_thingsfe,Yes,No,"No, visible always",No,43.2843,87.7866,44.8138,posh_sfe.txd,SFe.ide,Posh_thingsfe.dff,Building
1005,0.480956,bnt_b_sc_l,No,No,"No, visible always",No,0.926262,0.277868,0.1193841,vehicle.txd,veh_mods.ide,bnt_b_sc_l.dff,
10050,42.7498,vicstuff_sfe50,Yes,No,"No, visible always",No,55.6328,61.8246,19.89881,sfvictorian.txd,SFe.ide,vicstuff_sfe50.dff,
10051,75.0157,carimp_SFE,Yes,No,"No, visible always",No,88.1872,112.8693,7.18872,carimpound_sfe.txd,SFe.ide,carimp_SFE.dff,
10052,90.9392,lowmall,Yes,No,"No, visible always",No,142.3822,104.1954,40.1845,lomall.txd,SFe.ide,lowmall.dff,
10053,53.9521,fishwarf20_sfe,Yes,No,"No, visible always",No,75.8272,35.2808,58.9673,slapart01sfe.txd,SFe.ide,fishwarf20_sfe.dff,
10054,79.116,fishwarf24_sfe,Yes,No,"No, visible always",No,77.7126,68.8225,61.4722,slapart01sfe.txd,SFe.ide,fishwarf24_sfe.dff,
10055,48.2765,fishwarf21_sfe,Yes,No,"No, visible always",No,62.0888,42.8335,51.3009,slapart01sfe.txd,SFe.ide,fishwarf21_sfe.dff,
10056,72.5932,tempsf_4_sfe,Yes,No,"No, visible always",No,57.9839,104.3837,82.6292,bigoldbuild_sfe.txd,SFe.ide,tempsf_4_sfe.dff,
10057,141.162,nitelites_sfe10,No,No,"Yes, visible from 20 to 6",No,195.4042,210.469,79.2597,nitelites.txd,SFe.ide,nitelites_sfe10.dff,
10058,175.288,nitelites_sfe11,No,No,"Yes, visible from 20 to 6",No,189.3283,287.8284,93.6788,nitelites.txd,SFe.ide,nitelites_sfe11.dff,
1006,0.270594,rf_b_sc_r,No,No,"No, visible always",No,0.355238,0.4514872,0.0592063,vehicle.txd,veh_mods.ide,rf_b_sc_r.dff,Machine parts|Tuning
10060,59.2067,aprtmnts01_sfe,Yes,No,"No, visible always",No,61.9167,44.2966,46.6707,slapart01sfe.txd,SFe.ide,aprtmnts01_sfe.dff,
10061,31.0462,aprtmntrailgs01_SFe,Yes,No,"No, visible always",No,58.1249,3.77429,31.5037,simcondo_sfe.txd,SFe.ide,aprtmntrailgs01_SFe.dff,
10062,30.1724,aprtmntrailgs03_SFe,No,No,"No, visible always",No,57.9437,3.7583,16.43498,simcondo_sfe.txd,SFe.ide,aprtmntrailgs03_SFe.dff,
10063,42.297,aprtmnts02_sfe,Yes,No,"No, visible always",No,61.2741,39.5288,44.6602,slapart01sfe.txd,SFe.ide,aprtmnts02_sfe.dff,
10064,29.692,aprtmntrailgs02_SFe,No,No,"No, visible always",No,58.1249,3.77429,21.556571,simcondo_sfe.txd,SFe.ide,aprtmntrailgs02_SFe.dff,Exterior
10065,70.0858,road24_sfe,Yes,No,"No, visible always",No,31.5103,136.5743,2.53309,roadsfe.txd,SFe.ide,road24_sfe.dff,
10066,140.354,road02_sfe,Yes,No,"No, visible always",No,256.232,131.2582,11.337,roadsfe.txd,SFe.ide,road02_sfe.dff,
